ZAWODNIK,SREDNIA,DOM,WYJAZD,BIEGI
Maksymilian Bogdanowicz,1.378,1.409,1.348,45
Andreas Jonsson,2.389,2.622,2.156,90
Bartłomiej Kowalski,0.786,0.792,0.778,42
Norbert Kościuch,2.208,2.417,2.000,72
Norbert Krakowiak,1.289,1.583,0.786,38
Robert Lambert,2.174,2.326,2.023,86
Dawid Lampart,1.768,1.750,1.786,82
Wiktor Lampart,1.985,2.063,1.917,68
Mikkel Michelsen,2.296,2.433,2.125,54
Paweł Miesiąc,1.902,1.909,1.893,61
Jakub Miśkowiak,1.421,1.821,1.034,57
Anders Thomsen,2.341,2.579,2.136,41
Marcin Turowski,0.939,0.643,1.158,33
