_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS
660dbf87352dc45da21939ba,1,David Bellego,Bydgoszcz,2.292,102,8,48,22,13,10,3,0,0,0,0,0.458333333,2.586206897,1.842105263,2.166666667,2.571428571,2.076923077,2.333333333,0.619565217,0.114285714,57,35,22,12,8,4
660dbf87352dc45da21939bb,2,Tobiasz Musielak,Krosno,2.264,183,14,87,37,30,12,8,1,1,0,2,0.425287356,2.318181818,2.209302326,2.391304348,2.086956522,2.125,2.4,0.670807453,0.169811321,108,53,55,18,9,9
660dbf87352dc45da21939bc,4,Siergiej Łogaczow,Rybnik,2.197,147,9,71,30,23,11,7,0,0,0,0,0.422535211,2.257142857,2.138888889,2.4,2.25,2.111111111,2.090909091,0.620437956,0.134615385,85,52,33,16,9,7
660dbf87352dc45da21939bd,5,Andzejs Lebedevs,Krosno,2.17,192,12,94,41,24,21,8,1,1,0,0,0.436170213,2.510638298,1.829787234,2.304347826,1.863636364,2.137931034,2.4,0.651428571,0.016393443,114,61,53,22,21,1
660dbf87352dc45da21939be,7,Brady Kurtz,Łódź,2.164,151,7,73,31,23,12,7,0,1,0,1,0.424657534,2.285714286,2.052631579,2.608695652,1.842105263,2,2.066666667,0.618705036,0.150943396,86,53,33,18,10,8
660dbf87352dc45da21939bf,6,Wiktor Kułakow,Gdańsk,2.167,178,4,84,34,33,10,7,1,1,0,0,0.404761905,2.390243902,1.953488372,2.238095238,1.863636364,2.375,2.24,0.63803681,0.016949153,104,59,45,18,17,1
660dbf87352dc45da21939c0,10,Michael Jepsen Jensen,Rybnik,2.094,127,7,64,25,18,16,5,0,0,0,0,0.390625,2.323529412,1.833333333,2.411764706,1.705882353,2.375,1.857142857,0.532258065,0.155172414,66,58,8,18,9,9
660dbf87352dc45da21939c1,8,Rune Holta,Rybnik,2.148,164,10,81,37,21,11,12,4,3,1,0,0.456790123,2.487804878,1.8,2.611111111,2.3,2.086956522,1.65,0.64516129,0.2,100,55,45,20,9,11
660dbf87352dc45da21939c2,9,Grzegorz Walasek,Ostrów,2.103,166,17,87,30,27,22,8,0,5,0,1,0.344827586,2.209302326,2,2.3,2.090909091,2.038461538,2,0.621794872,0.118644068,97,59,38,15,8,7
660dbf87352dc45da21939c3,12,Patrick Hansen,Ostrów,2.057,157,22,87,24,33,19,11,0,2,1,0,0.275862069,2.348837209,1.772727273,2.384615385,2.105263158,1.954545455,1.7,0.624242424,0.14516129,103,62,41,18,9,9
660dbf87352dc45da21939c4,3,Vadim Tarasenko,Bydgoszcz,2.219,154,8,73,34,21,10,8,1,4,0,0,0.465753425,2.424242424,2.05,2.5,1.95,2.176470588,2.3,0.631578947,0.265306122,84,49,35,20,7,13
660dbf87352dc45da21939c5,14,Jakub Jamróg,Gdańsk,1.951,143,15,81,21,32,16,12,1,0,0,0,0.259259259,2.097560976,1.8,2.222222222,1.904761905,1.8,1.909090909,0.464968153,0.202380952,73,84,-11,21,4,17
660dbf87352dc45da21939c6,11,Oskar Fajfer,Gniezno,2.072,134,9,69,23,25,15,6,2,2,0,1,0.333333333,2.545454545,1.638888889,1.947368421,1.777777778,2.333333333,2.294117647,0.6171875,0.020408163,79,49,30,18,17,1
660dbf87352dc45da21939c7,16,Peter Kildemand,Gniezno,1.936,82,9,47,13,15,13,6,0,1,0,0,0.276595745,2.068965517,1.722222222,1.833333333,1.666666667,2.1875,2,0.611111111,0.0,55,35,20,13,13,0
660dbf87352dc45da21939c8,15,Timo Lahti,Gniezno,1.946,136,8,74,29,14,21,10,0,1,0,0,0.391891892,2.054054054,1.837837838,1.882352941,1.8,2.357142857,1.869565217,0.620689655,-0.077777778,90,55,35,12,19,-7
660dbf87352dc45da21939c9,17,Oliver Berntzon,Ostrów,1.897,137,11,78,26,22,15,15,1,5,0,1,0.333333333,2.125,1.657894737,1.777777778,2.277777778,1.714285714,1.857142857,0.54676259,0.095238095,76,63,13,10,4,6
660dbf87352dc45da21939ca,18,Andreas Lyager,Bydgoszcz,1.894,116,9,66,21,16,21,8,0,1,1,0,0.318181818,2,1.787878788,1.875,1.9375,1.75,2,0.531746032,0.084745763,67,59,8,16,11,5
660dbf87352dc45da21939cb,19,Aleksandr Łoktajew,Łódź,1.877,103,4,57,20,14,15,8,1,0,1,0,0.350877193,2.09375,1.6,2.266666667,1.642857143,2.125,1.333333333,0.619469027,-0.1,70,43,27,3,10,-7
660dbf87352dc45da21939cc,20,Grzegorz Zengota,Bydgoszcz,1.87,77,9,46,12,15,11,8,0,1,0,0,0.260869565,1.733333333,2.125,1.818181818,1.454545455,2.235294118,1.714285714,0.61627907,-0.056603774,53,33,20,5,8,-3
660dbf87352dc45da21939cd,21,Vaclav Milik,Krosno,1.862,136,13,80,23,25,17,15,1,1,0,0,0.2875,2.111111111,1.542857143,2.157894737,1.818181818,1.761904762,1.722222222,0.541666667,0.015151515,78,66,12,12,11,1
660dbf87352dc45da21939ce,22,Frederik Jakobsen,Gniezno,1.859,128,4,71,18,29,16,8,0,1,0,1,0.253521127,2.108108108,1.588235294,1.842105263,2.384615385,1.714285714,1.666666667,0.58778626,-0.064935065,77,54,23,11,16,-5
