_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ
660dbf6232c6deab18ea895a,1,Andzejs Lebedevs,Krosno,2.374,200,16,91,39,33,17,2,1,0,0,0,0.428571429,2.390243902,2.36,2.375,2.142857143,2.421052632,2.518518519,0.626506024,0.225806452,104,62,42,22,8,14,0.030243902,0.726775956
660dbf6232c6deab18ea895b,3,Max Fricke,Zielona Góra,2.309,209,8,94,51,21,14,8,0,2,0,1,0.542553191,2.489361702,2.127659574,2.791666667,2.375,2.035714286,2,0.661016949,0.25,117,60,57,25,10,15,0.361702128,0.734042553
660dbf6232c6deab18ea895c,4,Kai Huckenbeck,Landshut,2.288,174,9,80,37,27,9,7,1,1,0,1,0.4625,2.43902439,2.128205128,2.333333333,1.947368421,2.272727273,2.5,0.572580645,0.301886792,71,53,18,19,3,16,0.310819262,0.7
660dbf6232c6deab18ea895d,2,Kenneth Bjerre,Bydgoszcz,2.333,198,12,90,41,33,9,7,2,2,0,0,0.455555556,2.272727273,2.391304348,2.652173913,1.85,2.409090909,2.36,0.602484472,0.3125,97,64,33,22,2,20,-0.118577075,0.712707182
660dbf6232c6deab18ea895e,6,Wiktor Przyjemski,Bydgoszcz,2.2,150,15,75,37,13,13,12,0,3,1,0,0.493333333,2.333333333,2.055555556,2.333333333,2,2.5,1.933333333,0.695652174,0.095238095,96,42,54,17,13,4,0.277777778,0.710526316
660dbf6232c6deab18ea895f,5,Rasmus Jensen,Gdańsk,2.25,195,12,92,41,28,16,7,2,0,0,0,0.445652174,2.295454545,2.208333333,2.454545455,2.36,2.074074074,2.111111111,0.646706587,0.169491525,108,59,49,24,14,10,0.087121212,0.702702703
660dbf6232c6deab18ea8960,7,Rohan Tungate,Zielona Góra,2.053,179,14,94,38,24,17,15,0,1,0,3,0.404255319,2.208333333,1.891304348,2.458333333,1.875,1.944444444,1.928571429,0.606741573,0.2,108,70,38,20,6,14,0.317028986,0.654255319
660dbf6232c6deab18ea8961,8,Vaclav Milik,Krosno,2.051,150,12,79,26,28,16,9,2,0,1,0,0.329113924,2.205128205,1.9,2.578947368,1.947368421,2,1.75,0.677852349,-0.059405941,101,48,53,8,14,-6,0.305128205,0.635220126
660dbf6232c6deab18ea8962,9,Krzysztof Buczkowski,Zielona Góra,2.043,184,8,94,33,32,21,8,1,1,1,1,0.35106383,2.127659574,1.957446809,2.318181818,2.037037037,1.923076923,1.894736842,0.634831461,-0.026548673,113,65,48,11,14,-3,0.170212766,0.62962963
660dbf6232c6deab18ea8963,10,Tobiasz Musielak,Krosno,2.04,180,22,99,30,33,24,12,0,4,0,1,0.303030303,2.255319149,1.846153846,2.217391304,1.620689655,2.391304348,2.041666667,0.645348837,-0.045045045,111,61,50,10,15,-5,0.409165303,0.611111111
660dbf6232c6deab18ea8964,11,Andreas Lyager,Rybnik,2.027,140,10,74,25,24,17,8,1,1,0,0,0.337837838,2.105263158,1.944444444,2.210526316,2.105263158,1.785714286,1.954545455,0.593220339,0.0,70,48,22,12,12,0,0.160818713,0.6
660dbf6232c6deab18ea8965,12,Timo Lahti,Gdańsk,1.987,148,5,77,31,19,17,10,0,0,0,0,0.402597403,2.352941176,1.697674419,2.333333333,1.611111111,1.789473684,2.181818182,0.617021277,-0.045977011,87,54,33,10,14,-4,0.655266758,0.598726115
660dbf6232c6deab18ea8966,14,Brady Kurtz,Łódź,1.947,178,7,95,31,32,21,11,1,2,1,0,0.326315789,2.133333333,1.78,2.19047619,1.869565217,1.75,2.043478261,0.49689441,0.160493827,80,81,-1,32,19,13,0.353333333,0.57591623
660dbf6232c6deab18ea8967,16,Mateusz Szczepaniak,Krosno,1.915,161,19,94,26,30,23,15,0,3,1,0,0.276595745,2.023255814,1.823529412,2.095238095,1.695652174,2.096774194,1.684210526,0.587209302,0.028169014,101,71,30,9,7,2,0.199726402,0.603174603
660dbf6232c6deab18ea8968,18,Matej Zagar,Bydgoszcz,1.889,157,13,90,27,27,22,14,1,3,0,0,0.3,1.931818182,1.847826087,2.105263158,1.84,1.65,1.961538462,0.484662577,0.178571429,79,84,-5,31,16,15,0.083992095,0.568306011
660dbf6232c6deab18ea8969,19,Jakub Jamróg,Gdańsk,1.869,108,6,61,21,16,13,11,0,2,1,1,0.344262295,2.0625,1.655172414,2.352941176,1.769230769,1.533333333,1.75,0.530612245,-0.019230769,52,46,6,4,5,-1,0.407327586,0.544715447
660dbf6232c6deab18ea896a,17,Grzegorz Zengota,Rybnik,1.904,132,7,73,31,14,11,17,0,4,0,0,0.424657534,2.114285714,1.710526316,2.421052632,2.058823529,1.352941176,1.75,0.699115044,-0.063291139,79,34,45,4,9,-5,0.403759398,0.582191781
660dbf6232c6deab18ea896b,13,Oskar Fajfer,Gniezno,1.967,116,4,61,24,16,12,9,1,3,0,0,0.393442623,1.714285714,2.181818182,2.315789474,1.833333333,1.846153846,1.764705882,0.62745098,-0.0625,64,38,26,5,9,-4,-0.467532468,0.557377049
660dbf6232c6deab18ea896c,20,Piotr Protasiewicz,Zielona Góra,1.869,97,17,61,16,16,17,12,2,1,0,1,0.262295082,2.114285714,1.538461538,2.166666667,1.882352941,1.615384615,1.842105263,0.482758621,0.25,56,60,-4,19,4,15,0.575824176,0.601626016
660dbf6232c6deab18ea896d,21,Niels Kristian Iversen,Łódź,1.857,158,11,91,30,23,22,16,0,1,0,0,0.32967033,2.133333333,1.586956522,2.375,1.55,1.434782609,2,0.506493506,0.039473684,78,76,2,15,12,3,0.546376812,0.549450549
660dbf6232c6deab18ea896e,23,Dimitri Berge,Landshut,1.762,139,9,84,24,23,21,16,3,2,0,0,0.285714286,1.9,1.636363636,2,1.5,1.565217391,2,0.47107438,0.03125,57,64,-7,8,6,2,0.263636364,0.511764706
660dbf6232c6deab18ea896f,24,Luke Becker,Łódź,1.741,135,13,85,22,24,21,18,1,0,0,1,0.258823529,1.904761905,1.581395349,1.944444444,1.925925926,1.434782609,1.647058824,0.54,0.043478261,81,69,12,15,12,3,0.323366556,0.520467836
660dbf6232c6deab18ea8970,26,Adrian Gała,Gdańsk,1.712,90,11,59,15,14,17,13,2,7,0,0,0.254237288,1.764705882,1.64,2.230769231,2.1875,1.6,0.866666667,0.537634409,0.139534884,50,43,7,13,7,6,0.124705882,0.547008547
660dbf6232c6deab18ea8971,27,Antonio Lindbaeck,Gniezno,1.692,106,4,65,15,22,17,11,0,3,0,0,0.230769231,1.65625,1.727272727,1.833333333,1.6,1.461538462,1.789473684,0.463636364,-0.058823529,51,59,-8,13,16,-3,-0.071022727,0.441860465
660dbf6232c6deab18ea8972,15,Michael Jepsen Jensen,Gniezno,1.927,96,10,55,16,17,14,8,0,0,1,0,0.290909091,1.88,1.966666667,2.307692308,2,1.785714286,1.545454545,0.49,0.215686275,49,51,-2,20,9,11,-0.086666667,0.585585586
660dbf6232c6deab18ea8973,28,Marcin Nowak,Łódź,1.663,138,15,92,20,26,26,20,2,1,0,1,0.217391304,1.795454545,1.541666667,2.2,1.095238095,1.333333333,1.88,0.506666667,-0.078947368,76,74,2,18,24,-6,0.253787879,0.5
660dbf6232c6deab18ea8974,29,Norick Bloedorn,Landshut,1.645,109,16,76,15,22,20,19,0,0,0,2,0.197368421,1.694444444,1.6,1.875,1.727272727,1.136363636,2,0.504587156,-0.054545455,55,54,1,14,17,-3,0.094444444,0.483660131
660dbf6232c6deab18ea8975,22,Nicolai Klindt,Rybnik,1.81,97,8,58,18,14,15,11,1,0,1,0,0.310344828,2,1.592592593,1.5,1.923076923,2.105263158,1.6,0.633027523,-0.101449275,69,40,29,8,15,-7,0.407407407,0.525862069
660dbf6232c6deab18ea8976,30,Mads Hansen,Landshut,1.625,111,6,72,13,28,16,15,0,2,0,0,0.180555556,1.657142857,1.594594595,2.2,1.52173913,1.823529412,1.058823529,0.432989691,-0.047619048,42,55,-13,5,7,-2,0.062548263,0.482758621
660dbf6232c6deab18ea8977,25,Krystian Pieszczek,Rybnik,1.721,103,14,68,12,23,21,12,0,1,0,1,0.176470588,1.774193548,1.675675676,1.75,1.578947368,2.058823529,1.5,0.636363636,-0.214285714,70,40,30,6,21,-15,0.098517873,0.518248175
660dbf6232c6deab18ea8978,31,Adrian Miedziński,Bydgoszcz,1.62,121,7,79,20,18,25,16,0,5,0,0,0.253164557,1.578947368,1.658536585,1.826086957,1.555555556,1.476190476,1.588235294,0.5,0.057971014,69,69,0,14,10,4,-0.079589217,0.5
660dbf6232c6deab18ea8979,32,Jan Kvech,Zielona Góra,1.618,103,20,76,9,23,30,14,1,1,1,0,0.118421053,1.7,1.527777778,1.8125,1.409090909,1.578947368,1.736842105,0.503401361,-0.040540541,74,73,1,25,28,-3,0.172222222,0.490196078
660dbf6232c6deab18ea897a,33,Daniel Jeleniewski,Bydgoszcz,1.608,109,18,79,15,21,22,21,1,2,0,0,0.189873418,1.628571429,1.590909091,2.0625,1.409090909,1.5,1.588235294,0.531468531,-0.092105263,76,67,9,3,10,-7,0.037662338,0.487341772
660dbf6232c6deab18ea897b,35,Szymon Szlauderbach,Gniezno,1.509,74,6,53,12,13,12,16,0,3,0,1,0.226415094,1.633333333,1.347826087,1.8,1.25,1.75,1.272727273,0.453488372,0.021276596,39,47,-8,7,6,1,0.285507246,0.448598131
660dbf6232c6deab18ea897c,36,Franciszek Karczewski,Krosno,1.406,87,10,69,16,12,15,26,5,0,1,0,0.231884058,1.586206897,1.275,1.333333333,1.944444444,1,1.333333333,0.432,-0.055555556,54,71,-17,3,6,-3,0.311206897,0.449275362
