_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,id,SGP 1997 status,numer SGP 1997,wychowanek
66f074d494e23727cab05a95,1,Brady Kurtz,Rybnik,2.402061855670103,0.7628865979381443,222,11,97,0.6483516483516484,0.328125,21,55,24,9,9,0,1,0,0,0.5670103092783505,118,64,31,10,54,2.6153846153846154,2.0384615384615383,2.4615384615384617,2.526315789473684,2.693877551020408,2.1041666666666665,19,3026,,,
66f074d494e23727cab05a96,2,Krzysztof Buczkowski,Bydgoszcz,2.351063829787234,0.723404255319149,215,6,94,0.6384180790960452,0.28125,18,49,30,8,7,1,3,0,0,0.5212765957446809,113,64,21,3,49,2.3,2.1666666666666665,2.4242424242424243,2.5294117647058822,2.6956521739130435,2.0208333333333335,20,277,,,
66f074d494e23727cab05a97,4,Ryan Douglas,Poznań,2.215909090909091,0.6875,184,11,88,0.6987951807228916,0.04,2,38,29,12,9,0,2,2,1,0.4318181818181818,116,50,11,9,66,2.4,2.0952380952380953,2.1153846153846154,2.2857142857142856,2.2888888888888888,2.13953488372093,17,3594,,,
66f074d494e23727cab05a98,3,Gleb Chugunov,Ostrów,2.2409638554216866,0.6787878787878788,177,9,83,0.660377358490566,0.07407407407407407,4,43,15,18,7,0,2,0,0,0.5180722891566265,105,54,15,11,51,2.4210526315789473,2.25,2.35,2,2.4,2.0526315789473686,17,3247,,,
66f074d494e23727cab05a99,6,Aleksandr Łoktajew,Poznań,2.136842105263158,0.6736842105263158,194,9,95,0.6982248520710059,0.058823529411764705,3,46,19,18,12,1,6,0,0,0.4842105263157895,118,51,13,10,67,2.36,2.2222222222222223,2.0434782608695654,1.85,2.217391304347826,2.061224489795918,18,3009,,,
66f074d494e23727cab05a9a,5,Chris Holder,Ostrów,2.172043010752688,0.6827956989247311,185,17,93,0.6358695652173914,0.14925373134328357,10,32,34,21,6,1,0,0,0,0.34408602150537637,117,67,21,11,50,2.4444444444444446,2.12,1.8571428571428572,2.2,2.276595744680851,2.0652173913043477,18,23,,,
66f074d494e23727cab05a9b,8,Dimitri Berge,Krosno,2.122448979591837,0.6262626262626263,96,8,49,0.5670103092783505,0.11904761904761904,5,17,16,13,3,0,0,0,0,0.3469387755102041,55,42,11,6,13,2.3076923076923075,2.076923076923077,2,2.090909090909091,2.2,2.0416666666666665,10,96,,,
66f074d494e23727cab05a9c,7,Nicki Pedersen,Rzeszów,2.1323529411764706,0.6423357664233577,139,6,68,0.676923076923077,-0.056818181818181816,-5,27,24,10,7,1,1,0,0,0.39705882352941174,88,42,12,17,46,2.263157894736842,2,2,2.210526315789474,2.3636363636363638,1.9142857142857144,14,110,,,
66f074d494e23727cab05a9d,9,Frederik Jakobsen,Ostrów,2.1136363636363638,0.68,169,17,88,0.6666666666666666,0.017857142857142856,1,33,23,24,8,0,0,0,1,0.375,112,56,14,13,56,2,2.0434782608695654,2.0869565217391304,2.35,2.159090909090909,2.0681818181818183,18,41,,,
66f074d494e23727cab05a9e,10,Kai Huckenbeck,Bydgoszcz,2.076923076923077,0.6408839779005525,168,21,91,0.611764705882353,0.10606060606060606,7,29,30,21,11,1,3,0,1,0.31868131868131866,104,66,21,14,38,2.0416666666666665,1.85,2.0714285714285716,2.242424242424242,2.260869565217391,1.8888888888888888,20,744,,,
66f074d494e23727cab05a9f,11,Andreas Lyager,Bydgoszcz,2.0760869565217392,0.6195652173913043,168,23,92,0.5879120879120879,0.06666666666666667,5,26,32,26,8,0,0,0,0,0.2826086956521739,107,75,18,13,32,2.1,2,2.1785714285714284,2,2.152173913043478,2,20,114,,,
66f074d494e23727cab05aa0,12,Rohan Tungate,Rybnik,2.0673076923076925,0.6442307692307693,193,22,104,0.5775401069518716,0.13924050632911392,11,36,29,27,12,0,2,0,1,0.34615384615384615,108,79,19,8,29,2.16,2.0357142857142856,1.8148148148148149,2.2916666666666665,2.196078431372549,1.9433962264150944,20,3180,,,
