_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,id,SGP 1997 status,numer SGP 1997,wychowanek,czy mistrz świata?,status PL 2025
68d2f39d7408ce1d1f93a2c8,1,Janusz Kołodziej,Leszno,2.493827160493827,0.8198757763975155,189,13,81,0.7662337662337663,0.2777777777777778,10,49,16,10,6,0,1,0,1,0.6049382716049383,118,36,22,12,82,2.3157894736842106,2.4444444444444446,2.739130434782609,2.4285714285714284,2.4864864864864864,2.5,18,333,,,,,SP
68d2f39d7408ce1d1f93a2c9,4,Szymon Woźniak,Bydgoszcz,2.2298850574712645,0.7052023121387283,179,15,87,0.6586826347305389,0.14035087719298245,8,37,28,12,10,1,1,1,1,0.42528735632183906,110,57,15,7,53,2.111111111111111,2.05,2.4375,2.375,2.3333333333333335,2.1333333333333333,18,48,,,,,SP
68d2f39d7408ce1d1f93a2ca,2,Benjamin Cook,Leszno,2.3015873015873014,0.7380952380952381,134,11,63,0.7,0.2222222222222222,8,27,22,9,5,1,0,0,1,0.42857142857142855,84,36,16,8,48,2.3684210526315788,2.357142857142857,2.25,2.2142857142857144,2.4,2.1785714285714284,13,,,,,,SO
68d2f39d7408ce1d1f93a2cb,5,Kai Huckenbeck,Bydgoszcz,2.2289156626506026,0.7245508982035929,164,21,83,0.6273291925465838,0.3,18,35,20,19,9,2,1,0,0,0.42168674698795183,101,60,29,11,41,2.25,2.130434782608696,2.4285714285714284,2.1052631578947367,2.2093023255813953,2.25,17,744,,,,,SO
68d2f39d7408ce1d1f93a2cc,6,Paweł Przedpełski,Rzeszów,2.216867469879518,0.6407185628742516,173,11,83,0.6463414634146342,-0.018867924528301886,-2,33,29,16,5,0,0,0,0,0.39759036144578314,106,58,8,10,48,2.3157894736842106,2.15,1.9047619047619047,2.4782608695652173,2.075,2.3488372093023258,16,323,,,,,SP
68d2f39d7408ce1d1f93a2cd,7,Luke Becker,Ostrów,2.186046511627907,0.6781609195402298,91,3,43,0.6309523809523809,0.0967741935483871,3,21,9,10,3,0,0,0,0,0.4883720930232558,53,31,6,3,22,2.75,1.7272727272727273,1.8888888888888888,2.272727272727273,2.5238095238095237,1.8636363636363635,8,22,,,,,SO
68d2f39d7408ce1d1f93a2ce,8,Aleksandr Łoktajew,Bydgoszcz,2.1818181818181817,0.6875,174,18,88,0.6871165644171779,0.0784313725490196,4,32,32,14,10,0,4,0,0,0.36363636363636365,112,51,13,9,61,2.2,2.0384615384615383,2.0833333333333335,2.5,2.357142857142857,2.0217391304347827,18,3009,,,,,SO
68d2f39d7408ce1d1f93a2cf,9,Krzysztof Buczkowski,Bydgoszcz,2.144578313253012,0.6467065868263473,155,23,83,0.5527950310559007,0.19444444444444445,14,22,35,19,7,0,1,0,0,0.26506024096385544,89,72,22,8,17,2.2941176470588234,2.05,1.7727272727272727,2.4583333333333335,2.380952380952381,1.9024390243902438,18,277,,,,,SP
68d2f39d7408ce1d1f93a2d0,3,Ryan Douglas,Poznań,2.268292682926829,0.6829268292682927,179,7,82,0.6375,0.13793103448275862,8,34,33,11,4,1,1,0,0,0.4146341463414634,102,58,19,11,44,2.15,2.4347826086956523,2.259259259259259,2.1666666666666665,2.41025641025641,2.13953488372093,16,3594,,,,,SO
68d2f39d7408ce1d1f93a2d1,10,Grzegorz Zengota,Leszno,2.097826086956522,0.6557377049180327,179,14,92,0.664804469273743,-0.01680672268907563,-2,37,26,16,13,0,1,0,0,0.40217391304347827,119,60,14,16,59,2.4,2.130434782608696,2,1.8333333333333333,2.2222222222222223,1.9787234042553192,18,29,,,,,SP
68d2f39d7408ce1d1f93a2d2,11,Tobiasz Musielak,Krosno,2.074074074074074,0.6319018404907976,155,13,81,0.5743243243243243,0.19047619047619047,12,32,20,19,10,1,2,0,1,0.3950617283950617,85,63,18,6,22,2.25,1.7619047619047619,2.1052631578947367,2.1904761904761907,2.1904761904761907,1.9487179487179487,16,3193,,,,,SP
68d2f39d7408ce1d1f93a2d3,12,Nazar Parnitskyi,Leszno,2.0549450549450547,0.6758241758241759,167,20,91,0.6573033707865169,0.04918032786885246,3,33,25,18,15,0,0,0,1,0.3626373626373626,117,61,15,12,56,2.238095238095238,2.36,1.8333333333333333,1.7619047619047619,2.2444444444444445,1.8695652173913044,18,3672,,,,,JO
68d2f39d7408ce1d1f93a2d4,13,Tom Brennan,Bydgoszcz,1.9873417721518987,0.6455696202531646,139,18,79,0.6025641025641025,0.08064516129032258,5,23,22,26,8,0,0,0,0,0.2911392405063291,94,62,19,14,32,2.25,1.8571428571428572,1.6666666666666667,2.238095238095238,2.0256410256410255,1.95,18,3635,,,,,SO
68d2f39d7408ce1d1f93a2d5,14,Keynan Rew,Rzeszów,1.9625,0.6289308176100629,145,12,80,0.5675675675675675,0.15625,10,32,18,13,17,0,3,0,1,0.4,84,64,14,4,20,1.736842105263158,1.9411764705882353,2,2.1363636363636362,1.9743589743589745,1.951219512195122,16,3478,,,,,SO
68d2f39d7408ce1d1f93a2d6,15,Kenneth Bjerre,Krosno,1.9090909090909092,0.6044776119402985,110,16,66,0.5538461538461539,0.10344827586206896,6,19,21,11,15,2,1,0,0,0.2878787878787879,72,58,11,5,14,2.1176470588235294,1.588235294117647,1.9411764705882353,2,2.129032258064516,1.7142857142857142,16,91,,,,,SO
68d2f39d7408ce1d1f93a2d7,16,Robert Chmiel,Łódź,1.8777777777777778,0.5611111111111111,160,9,90,0.5747126436781609,-0.05,-5,29,28,17,16,0,0,0,0,0.32222222222222224,100,74,9,14,26,1.92,1.9545454545454546,1.9090909090909092,1.7142857142857142,2.108695652173913,1.6363636363636365,18,1023,,,,,SP
68d2f39d7408ce1d1f93a2d8,17,Bartosz Smektała,Poznań,1.868421052631579,0.5723684210526315,128,14,76,0.5578231292517006,-0.024390243902439025,-2,23,19,21,13,0,0,0,0,0.3026315789473684,82,65,11,13,17,2.3043478260869565,2.0526315789473686,1.6470588235294117,1.2941176470588236,1.8611111111111112,1.875,16,115,,,,,SP
68d2f39d7408ce1d1f93a2d9,18,Frederik Jakobsen,Ostrów,1.8656716417910448,0.4962962962962963,122,3,67,0.40310077519379844,0.19480519480519481,15,17,28,15,7,3,1,0,0,0.2537313432835821,52,77,30,15,-25,2.0588235294117645,1.6,1.8333333333333333,1.9411764705882353,1.894736842105263,1.8275862068965518,12,41,,,,,SO
68d2f39d7408ce1d1f93a2da,19,Timo Lahti,Tarnów,1.8160919540229885,0.5057471264367817,151,7,87,0.5748502994011976,-0.125,-12,26,24,25,12,1,1,0,1,0.2988505747126437,96,71,6,18,25,1.8,2.1666666666666665,1.7619047619047619,1.5,2.0697674418604652,1.5681818181818181,18,98,,,,,SO
68d2f39d7408ce1d1f93a2db,20,Matej Zagar,Łódź,1.8142857142857143,0.539568345323741,115,12,70,0.49242424242424243,0.08955223880597014,6,18,21,19,12,1,1,0,1,0.2571428571428571,65,67,16,10,-2,1.8666666666666667,1.5714285714285714,1.8,2,2.088235294117647,1.5555555555555556,4,55,,,,,SO
68d2f39d7408ce1d1f93a2dc,21,Patryk Wojdyło,Łódź,1.783132530120482,0.5481927710843374,138,10,83,0.60625,-0.09278350515463918,-9,27,22,13,21,0,1,0,0,0.3253012048192771,97,63,8,17,34,2.3157894736842106,1.7916666666666667,1.7916666666666667,1.125,1.934782608695652,1.5945945945945945,17,3157,,,,,SP
68d2f39d7408ce1d1f93a2dd,22,Dimitri Berge,Krosno,1.7777777777777777,0.5310344827586206,118,10,72,0.4857142857142857,0.05555555555555555,4,17,22,23,10,0,0,0,0,0.2361111111111111,68,72,17,13,-4,1.7058823529411764,1.8235294117647058,1.7826086956521738,1.8,1.8181818181818181,1.7435897435897436,15,96,,,,,SO
68d2f39d7408ce1d1f93a2de,23,Mathias Pollestad,Krosno,1.7755102040816326,0.5204081632653061,81,6,49,0.5567010309278351,-0.07407407407407407,-4,15,10,16,8,0,0,0,0,0.30612244897959184,54,43,6,10,11,2.3333333333333335,1.3846153846153846,1.4,1.9285714285714286,1.6818181818181819,1.8518518518518519,11,3602,,,,,JO
68d2f39d7408ce1d1f93a2df,24,Andreas Lyager,Łódź,1.7738095238095237,0.47619047619047616,140,9,84,0.45625,0.05747126436781609,5,22,25,24,13,2,2,0,0,0.2619047619047619,73,87,20,15,-14,1.8571428571428572,1.5454545454545454,1.8888888888888888,1.826086956521739,1.6578947368421053,1.8695652173913044,17,114,,,,,SO
68d2f39d7408ce1d1f93a2e0,25,Nicolai Klindt,Rzeszów,1.7457627118644068,0.5338983050847458,90,13,59,0.5315315315315315,0.019230769230769232,1,13,19,13,14,0,2,0,0,0.22033898305084745,59,52,9,8,7,2,1.4615384615384615,1.9333333333333333,1.5,2,1.5,13,1129,,,,,SO
68d2f39d7408ce1d1f93a2e1,26,Marcin Nowak,Rzeszów,1.732394366197183,0.5174825174825175,108,15,71,0.47368421052631576,0.04285714285714286,3,15,21,21,14,0,1,0,0,0.2112676056338028,63,70,15,12,-7,1.6666666666666667,1.6666666666666667,1.7333333333333334,1.8823529411764706,1.8611111111111112,1.6,16,290,,,,,SP
68d2f39d7408ce1d1f93a2e2,27,Mikkel Andersen,Łódź,1.7313432835820894,0.5149253731343284,101,15,67,0.42857142857142855,0.1388888888888889,10,13,20,22,12,0,2,0,0,0.19402985074626866,54,72,25,15,-18,1.8888888888888888,1.5238095238095237,1.7777777777777777,1.8421052631578947,1.8285714285714285,1.625,17,,,,,,JO
68d2f39d7408ce1d1f93a2e3,28,Antoni Mencel,Leszno,1.7301587301587302,0.5396825396825397,90,19,63,0.6,-0.1111111111111111,-8,16,15,12,20,0,1,0,1,0.25396825396825395,72,48,6,14,24,1.7272727272727273,1.6666666666666667,1.4666666666666666,2.375,1.8275862068965518,1.6470588235294117,18,3615,,,Unia Leszno,,JP
68d2f39d7408ce1d1f93a2e4,29,Mateusz Szczepaniak,Tarnów,1.702127659574468,0.4521276595744681,147,13,94,0.49444444444444446,-0.0898876404494382,-8,23,25,28,18,1,1,0,0,0.24468085106382978,89,91,9,17,-2,1.6956521739130435,1.3333333333333333,1.8,1.92,2.022222222222222,1.4081632653061225,18,3128,,,,,SP
68d2f39d7408ce1d1f93a2e5,30,Kacper Mania,Leszno,1.621212121212121,0.549618320610687,89,18,66,0.464,0.16417910447761194,11,12,19,15,20,1,3,0,0,0.18181818181818182,58,67,22,11,-9,2.076923076923077,1,1.8421052631578947,1.5,1.78125,1.4705882352941178,18,,,,Unia Leszno,,JP
68d2f39d7408ce1d1f93a2e6,31,Jakub Jamróg,Krosno,1.6,0.46099290780141844,104,8,70,0.4330708661417323,0.06944444444444445,5,15,22,15,18,1,5,0,0,0.21428571428571427,55,72,14,9,-17,1.8333333333333333,1.3888888888888888,1.5454545454545454,1.608695652173913,1.8108108108108107,1.3636363636363635,16,31,,,,,SP
68d2f39d7408ce1d1f93a2e7,32,Matias Nielsen,Poznań,1.5972222222222223,0.4689655172413793,101,14,72,0.4460431654676259,0.012987012987012988,1,13,19,24,16,0,0,1,1,0.18055555555555555,62,77,20,19,-15,2,1.3888888888888888,1.0588235294117647,1.9,1.8157894736842106,1.3529411764705883,16,3536,,,,,SO
68d2f39d7408ce1d1f93a2e8,33,Paweł Sitek,Ostrów,1.5833333333333333,0.5166666666666667,87,8,60,0.5784313725490197,-0.0847457627118644,-5,16,14,11,19,0,5,0,0,0.26666666666666666,59,43,12,17,16,1.3125,0.8888888888888888,1.8888888888888888,1.8823529411764706,1.7419354838709677,1.4137931034482758,16,,,,Arged Malesa Ostrów,,JP
68d2f39d7408ce1d1f93a2e9,34,Oliver Berntzon,Ostrów,1.5666666666666667,0.44166666666666665,86,8,60,0.4473684210526316,0.0,0,10,19,18,13,1,2,0,0,0.16666666666666666,51,63,12,12,-12,2,1.6470588235294117,1.3333333333333333,1.3333333333333333,1.6296296296296295,1.5151515151515151,14,93,,,,,SO
68d2f39d7408ce1d1f93a2ea,35,Piotr Świercz,Krosno,1.55,0.5,56,6,40,0.5194805194805194,-0.075,-3,12,5,10,13,1,0,0,0,0.3,40,37,5,8,3,1.6153846153846154,2.1666666666666665,1.4545454545454546,1.2,1.68,1.3333333333333333,12,3564,,,Unia Tarnów,,JP
68d2f39d7408ce1d1f93a2eb,36,Francis Gusts,Poznań,1.5434782608695652,0.4673913043478261,59,12,46,0.4444444444444444,0.02,1,8,9,17,12,0,0,0,0,0.17391304347826086,40,50,8,7,-10,1.8,1.7692307692307692,1.5833333333333333,1,1.7586206896551724,1.1764705882352942,13,3525,,,,,SO
68d2f39d7408ce1d1f93a2ec,37,Josh Pickering,Leszno,1.5294117647058822,0.4853801169590643,110,20,85,0.40372670807453415,0.16666666666666666,16,13,21,29,22,1,3,0,0,0.15294117647058825,65,96,26,10,-31,1.7,1.4545454545454546,1.45,1.5217391304347827,1.6666666666666667,1.375,18,3495,,,,,SO
68d2f39d7408ce1d1f93a2ed,38,Norick Bloedorn,Poznań,1.5,0.4214876033057851,81,9,60,0.4789915966386555,-0.14035087719298245,-8,10,17,17,16,1,0,0,0,0.16666666666666666,57,62,4,12,-5,1.8181818181818181,1.6666666666666667,1.5833333333333333,1.1818181818181819,1.6666666666666667,1.3636363636363635,14,3572,,,,,JO
68d2f39d7408ce1d1f93a2ee,39,Jacob Thorssell,Rzeszów,1.492063492063492,0.4566929133858268,86,8,63,0.4915254237288136,-0.1206896551724138,-7,12,16,18,17,1,0,0,0,0.19047619047619047,58,60,8,15,-2,1.7857142857142858,0.95,1.5714285714285714,1.8666666666666667,1.5277777777777777,1.4444444444444444,14,3063,,,,,SO
68d2f39d7408ce1d1f93a2ef,40,Norbert Krakowiak,Ostrów,1.4411764705882353,0.39705882352941174,43,6,34,0.48484848484848486,-0.21875,-7,7,5,12,10,4,0,0,0,0.20588235294117646,32,34,4,11,-2,2,1.2857142857142858,1,1.3636363636363635,1.2666666666666666,1.5789473684210527,8,1099,,,,,SP
68d2f39d7408ce1d1f93a2f0,41,Vaclav Milik,Łódź,1.4310344827586208,0.4396551724137931,76,7,58,0.509090909090909,-0.17857142857142858,-10,12,11,18,17,0,0,0,0,0.20689655172413793,56,54,6,16,2,1.8666666666666667,1.1538461538461537,1.8181818181818181,1.0526315789473684,1.5333333333333334,1.3214285714285714,13,225,,,,,SO
68d2f39d7408ce1d1f93a2f1,42,Marko Levyshyn,Tarnów,1.4269662921348314,0.4101123595505618,111,16,89,0.4476744186046512,-0.11688311688311688,-9,14,19,31,25,1,1,0,0,0.15730337078651685,77,95,11,20,-18,1.1818181818181819,1.4,1.64,1.4545454545454546,1.6136363636363635,1.2444444444444445,18,3548,,,,,SO
68d2f39d7408ce1d1f93a2f2,43,Grzegorz Walasek,Ostrów,1.4242424242424243,0.4015151515151515,86,8,66,0.4,0.02666666666666667,2,13,15,17,21,5,1,1,0,0.19696969696969696,50,75,10,8,-25,1.6,1.1764705882352942,1.1666666666666667,1.8125,1.4666666666666666,1.3888888888888888,14,3058,,,,,SP
68d2f39d7408ce1d1f93a2f3,44,Sebastian Szostak,Ostrów,1.4142857142857144,0.45,89,10,70,0.48,-0.1,-6,16,11,19,24,1,1,0,1,0.22857142857142856,60,65,3,9,-5,1.6,1.125,1.5,1.4,1.5,1.3333333333333333,16,355,,,Arged Malesa Ostrów,,SP
68d2f39d7408ce1d1f93a2f4,45,Tobiasz Jakub Musielak,Poznań,1.3703703703703705,0.4351851851851852,65,9,54,0.5684210526315789,-0.1111111111111111,-6,12,9,11,22,2,4,1,0,0.2222222222222222,54,41,3,9,13,1.7333333333333334,1.5625,1.1666666666666667,0.8181818181818182,1.6666666666666667,1.0740740740740742,16,3868,,,Unia Leszno,,JP
