_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD
5ab814ae0b3a2dd84a0c2ce4,1,Bartosz Zmarzlik,Gorzów,2.376,215,6,93,45,35,10,3,0,2,0,0,0.483870968,2.556,2.208,2.542,2.238,2.35,2.357
5ab814ae0b3a2dd84a0c2ce5,3,Artem Laguta,Grudziądz,2.236,156,5,72,39,14,11,8,1,1,0,0,0.541666667,2.286,2.189,2.5,2.176,1.947,2.286
5ab814ae0b3a2dd84a0c2ce6,2,Greg Hancock,Toruń,2.24,106,6,50,25,12,7,6,0,0,0,0,0.5,2.385,2.083,2.429,2.25,2.077,2.182
5ab814ae0b3a2dd84a0c2ce7,4,Leon Madsen,Częstochowa,2.181,145,12,72,30,19,17,6,1,0,0,1,0.416666667,2.257,2.108,2.5,1.909,2.25,2.125
5ab814ae0b3a2dd84a0c2ce8,5,Jason Doyle,Zielona Góra,2.074,159,9,81,30,26,17,8,0,0,0,0,0.37037037,2.057,2.087,2.35,2.15,1.87,1.944
5ab814ae0b3a2dd84a0c2ce9,6,Jarosław Hampel,Zielona Góra,2.069,170,10,87,37,24,11,15,1,0,0,0,0.425287356,2.195,1.957,2.346,2.136,1.684,2
5ab814ae0b3a2dd84a0c2cea,7,Tai Woffinden,Wrocław,2.064,178,16,94,36,24,22,12,0,3,0,0,0.382978723,1.979,2.149,2.227,2.091,2,1.963
5ab814ae0b3a2dd84a0c2ceb,8,Grigorij Laguta,Rybnik,2.062,61,5,32,12,9,7,4,0,0,0,0,0.375,2.65,1.412,2.25,2,2.2,1.9
5ab814ae0b3a2dd84a0c2cec,9,Kristian Iversen Niels,Gorzów,2.06,118,20,67,20,18,22,7,0,1,0,0,0.298507463,2.167,1.973,2.118,2,1.882,2.308
5ab814ae0b3a2dd84a0c2ced,10,Patryk Dudek,Zielona Góra,2.056,155,28,89,27,25,24,13,3,1,0,0,0.303370787,2.333,1.809,2.045,2,1.81,2.32
