_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,Column24,Column25
5d882596946dc27ad5d79ce5,1,Leon Madsen,Częstochowa,2.443,224,13,97,50,29,16,2,0,2,0,0,0.515463918,2.479,2.408,2.556,2.074,2.526,2.667,,
5d882596946dc27ad5d79ce6,2,Bartosz Zmarzlik,Gorzów,2.41,183,5,78,42,25,7,4,0,2,0,0,0.538461538,2.553,2.275,2.6,2.125,2.316,2.522,,
5d882596946dc27ad5d79ce7,3,Emil Sayfutdinov,Leszno,2.36,194,9,86,47,22,9,8,0,1,0,1,0.546511628,2.548,2.182,2.346,2.227,2.556,2.35,,
5d882596946dc27ad5d79ce8,4,Martin Vaculik,Zielona Góra,2.319,201,17,94,38,36,15,5,1,0,0,0,0.404255319,2.348,2.292,2.577,2.174,2.12,2.4,,
5d882596946dc27ad5d79ce9,5,Artem Laguta,Grudziądz,2.286,140,4,63,32,16,12,3,0,1,0,0,0.507936508,2.452,2.125,2.4,2.111,2.538,2.176,,
5d882596946dc27ad5d79cea,6,Jason Doyle,Toruń,2.28,165,6,75,33,29,8,5,1,1,0,0,0.44,2.371,2.2,2.292,2.25,2,2.643,,
5d882596946dc27ad5d79ceb,8,Tai Woffinden,Wrocław,2.208,151,8,72,35,18,10,9,0,0,0,0,0.486111111,2.161,2.244,2,2.136,2.5,2.188,,
5d882596946dc27ad5d79cec,10,Piotr Pawlicki,Leszno,2.133,184,8,90,42,21,16,11,2,1,0,0,0.466666667,2.25,2.022,2.476,2.125,1.87,2.091,,
5d882596946dc27ad5d79ced,9,Maksym Drabik,Wrocław,2.136,175,13,88,33,30,16,9,2,0,0,0,0.375,2.356,1.907,2.433,2.217,2.071,1.667,,
5d882596946dc27ad5d79cee,11,Grigorij Laguta,Lublin,2.122,98,6,49,17,18,11,3,0,2,0,1,0.346938776,2.192,2.043,2.471,1.625,1.727,2.308,,
5d882596946dc27ad5d79cef,7,Janusz Kołodziej,Leszno,2.241,167,19,83,36,19,21,7,1,0,0,0,0.43373494,2.19,2.293,2.154,2.174,2.292,2.304,,
5d882596946dc27ad5d79cf0,12,Nicki Pedersen,Zielona Góra,2.032,121,5,62,19,24,16,3,0,1,0,1,0.306451613,2.032,2.032,2.059,1.889,2,2.231,,
5d882596946dc27ad5d79cf1,13,Mikkel Michelsen,Lublin,2.013,139,12,75,27,22,14,12,0,0,0,0,0.36,1.973,2.053,2.4,1.588,1.789,2.211,,
5d882596946dc27ad5d79cf2,14,Kenneth Bjerre,Grudziądz,1.987,136,13,75,28,18,16,13,0,0,0,0,0.373333333,2.111,1.872,2.118,1.895,2,1.952,,
5d882596946dc27ad5d79cf3,15,Maciej Janowski,Wrocław,1.962,142,13,79,28,20,18,13,1,1,0,0,0.35443038,2.049,1.868,2.158,1.905,2.062,1.783,,
5d882596946dc27ad5d79cf4,16,Szymon Woźniak,Gorzów,1.952,111,10,62,21,18,12,11,0,0,0,0,0.338709677,2.206,1.643,2.286,1.55,2.214,1.929,,
5d882596946dc27ad5d79cf5,17,Patryk Dudek,Zielona Góra,1.912,160,14,91,33,19,23,16,0,2,0,0,0.362637363,2.156,1.674,2.2,1.842,1.696,1.875,,
5d882596946dc27ad5d79cf6,18,Fredrik Lindgren,Częstochowa,1.899,160,9,89,31,26,15,17,0,0,0,0,0.348314607,1.978,1.818,2.1,1.55,2.036,1.857,,
5d882596946dc27ad5d79cf7,19,Bartosz Smektała,Leszno,1.861,121,13,72,24,15,19,14,1,1,0,0,0.333333333,1.795,1.939,1.467,1.636,1.864,2.208,,
5d882596946dc27ad5d79cf8,20,Przemysław Pawlicki,Grudziądz,1.803,109,10,66,18,17,21,10,2,1,0,0,0.272727273,2.029,1.562,1.9,1.533,2.056,1.615,,
5d882596946dc27ad5d79cf9,21,Max Fricke,Wrocław,1.802,124,22,81,13,24,37,7,0,0,0,0,0.160493827,2.023,1.553,1.684,1.818,1.826,1.882,,
5d882596946dc27ad5d79cfa,22,Michael Jepsen Jensen,Zielona Góra,1.8,134,19,85,24,19,24,18,0,0,0,0,0.282352941,2.119,1.488,2.259,1.765,1.55,1.476,,
5d882596946dc27ad5d79cfb,23,Krzysztof Buczkowski,Grudziądz,1.797,102,13,64,17,19,13,15,2,2,0,0,0.265625,2.152,1.419,1.929,1.688,1.765,1.824,,
5d882596946dc27ad5d79cfc,24,Kristian Iversen Niels,Toruń,1.765,113,7,68,17,21,20,10,0,1,0,0,0.25,1.818,1.714,2.067,1.733,1.706,1.619,,
5d882596946dc27ad5d79cfd,25,Matej Zagar,Częstochowa,1.692,144,10,91,17,34,25,15,2,1,0,0,0.186813187,1.756,1.63,1.789,1.87,1.4,1.75,,
5d882596946dc27ad5d79cfe,26,Krzysztof Kasprzak,Gorzów,1.681,107,14,72,13,20,28,11,1,0,0,0,0.180555556,1.8,1.568,1.947,1.619,1.412,1.733,,
5d882596946dc27ad5d79cff,27,Chris Holder,Toruń,1.676,107,7,68,16,22,15,15,0,0,0,0,0.235294118,2.081,1.194,1.933,1.579,1.684,1.533,,
5d882596946dc27ad5d79d00,28,Anders Thomsen,Gorzów,1.667,74,11,51,10,15,14,12,2,1,0,1,0.196078431,1.538,1.8,1.75,1.333,1.688,1.909,,
5d882596946dc27ad5d79d01,29,Paweł Miesiąc,Lublin,1.623,105,7,69,16,18,21,14,0,0,0,1,0.231884058,1.703,1.531,1.545,2,1.312,1.688,,
5d882596946dc27ad5d79d02,30,Jarosław Hampel,Leszno,1.571,83,16,63,11,14,22,16,2,0,0,1,0.174603175,1.97,1.133,1.706,1.588,1.429,1.533,,
5d882596946dc27ad5d79d03,31,Wiktor Lampart,Lublin,1.544,78,10,57,11,14,17,15,0,0,0,0,0.192982456,1.75,1.28,1.929,1.5,1.25,1.556,,
5d882596946dc27ad5d79d04,32,Dominik Kubera,Leszno,1.534,98,14,73,15,16,21,21,0,1,0,0,0.205479452,1.333,1.73,1.913,1.4,1.083,1.538,,
5d882596946dc27ad5d79d05,33,Antonio Lindbaeck,Grudziądz,1.516,78,16,62,6,20,20,16,1,1,0,2,0.096774194,1.571,1.471,1.364,1.45,1.353,1.929,,
5d882596946dc27ad5d79d06,34,Piotr Protasiewicz,Zielona Góra,1.512,114,13,84,14,21,30,19,0,2,1,0,0.166666667,1.614,1.4,1.706,1.333,1.429,1.6,,
5d882596946dc27ad5d79d07,35,Jakub Jamróg,Wrocław,1.492,82,15,65,7,21,19,18,0,0,1,0,0.107692308,1.71,1.294,1.917,1.667,1.45,1.111,,
5d882596946dc27ad5d79d08,36,Jack Holder,Toruń,1.391,73,16,64,9,11,24,20,2,2,0,0,0.140625,1.323,1.455,1.2,1.722,1.333,1.25,,
5d882596946dc27ad5d79d09,37,Gleb Chugunov,Wrocław,1.361,79,4,61,12,14,15,20,0,2,0,0,0.196721311,1.6,1.129,2.062,0.867,1.571,0.938,,
5d882596946dc27ad5d79d0a,38,Rune Holta,Toruń,1.355,39,3,31,3,10,10,8,1,0,0,0,0.096774194,1.467,1.25,2.286,1.5,0.714,1.0,,
5d882596946dc27ad5d79d0b,39,Adrian Miedziński,Częstochowa,1.312,84,17,77,9,17,23,28,0,4,1,0,0.116883117,1.452,1.143,1.55,1.3,1.211,1.167,,
5d882596946dc27ad5d79d0c,40,Brady Kurtz,Leszno,1.304,79,11,69,8,14,27,20,0,0,0,0,0.115942029,1.472,1.121,1.824,1.286,0.95,1.222,,
5d882596946dc27ad5d79d0d,41,Viktor Trofymov,Lublin,1.295,44,13,44,5,8,13,18,0,1,0,0,0.113636364,1.545,1.045,1.8,1,1.571,1.077,,
5d882596946dc27ad5d79d0e,42,Michał Gruchalski,Częstochowa,1.283,66,11,60,9,11,17,23,2,2,1,1,0.15,1.296,1.273,1.467,1.286,1.312,1.067,,
5d882596946dc27ad5d79d0f,43,Dawid Lampart,Lublin,1.239,50,7,46,4,12,14,16,0,1,0,2,0.086956522,1.174,1.304,1.636,1,1.167,1.222,,
5d882596946dc27ad5d79d10,44,Vaclav Milik,Wrocław,1.233,43,10,43,5,10,8,20,1,2,0,0,0.11627907,1.409,1.048,1.818,0.538,1.778,1.0,,
5d882596946dc27ad5d79d11,45,Robert Lambert,Lublin,1.227,47,7,44,4,12,11,17,0,0,0,0,0.090909091,1.444,1.077,0.889,1.3,1.083,1.538,,
5d882596946dc27ad5d79d12,46,Paweł Przedpełski,Częstochowa,1.214,74,11,70,8,17,16,29,0,1,0,0,0.114285714,1.286,1.143,1.571,1.154,1.062,1.0,,
5d882596946dc27ad5d79d13,47,Andreas Jonsson,Lublin,1.175,42,5,40,5,5,17,13,0,2,0,0,0.125,0.938,1.333,1.636,1.556,0.818,0.667,,
5d882596946dc27ad5d79d14,48,Przemysław Liszka,Wrocław,1.087,39,11,46,2,10,13,21,0,0,0,0,0.043478261,1.25,0.909,0.889,0.5,1.235,1.286,,
5d882596946dc27ad5d79d15,49,Rafał Karczmarz,Gorzów,1.083,58,7,60,10,8,12,30,0,0,0,0,0.166666667,1.448,0.742,1.52,1,0.778,0.455,,
5d882596946dc27ad5d79d16,50,Norbert Kościuch,Toruń,1.033,24,7,30,2,4,10,14,0,1,0,0,0.066666667,1.059,1,1.333,1.5,0.222,1.333,,
5d882596946dc27ad5d79d17,51,Norbert Krakowiak,Zielona Góra,1.0,45,8,53,5,6,18,24,2,2,2,0,0.094339623,1.481,0.5,1.765,0.941,0.429,0.2,,
5d882596946dc27ad5d79d18,52,Marcin Turowski,Grudziądz,1.0,36,7,43,2,9,12,20,0,1,1,0,0.046511628,0.952,1.045,0.857,1.429,0.818,1.091,,
5d882596946dc27ad5d79d19,53,Peter Kildemand,Gorzów,0.979,39,8,48,3,8,14,23,0,2,1,0,0.0625,1.36,0.565,0.75,0.25,1.071,1.643,,
5d882596946dc27ad5d79d1a,54,Jakub Miśkowiak,Częstochowa,0.902,39,7,51,5,6,12,28,0,0,0,0,0.098039216,1.143,0.609,1.077,1,0.667,0.818,,
5d882596946dc27ad5d79d1b,55,Mateusz Bartkowiak,Gorzów,0.618,18,3,34,3,3,3,25,1,0,0,0,0.088235294,0.647,0.588,0.5,0,0.636,1.0,,
5d882596946dc27ad5d79d1c,56,Igor Kopeć-Sobczyński,Toruń,0.571,25,3,49,1,7,8,33,1,1,0,0,0.020408163,0.808,0.304,0.933,0.714,0.111,0.273,,
5d882596946dc27ad5d79d1d,57,Damian Pawliczak,Zielona Góra,0.541,17,3,37,1,4,6,26,0,0,0,0,0.027027027,0.667,0.421,0.375,0.333,0.4,0.846,,
5d882596946dc27ad5d79d1e,58,Maksymilian Bogdanowicz,Toruń,0.258,7,1,31,0,0,7,24,0,2,0,0,0.0,0.214,0.294,0,0,0.556,0.3,,
5d882596946dc27ad5d79d1f,59,Jaimon Lidsey,Leszno,1.667,8,2,6,0,3,2,1,0,0,0,0,0.0,,1.667,2,1.5,2,1.5,,
5d882596946dc27ad5d79d20,60,Roman Lakhbaum,Grudziądz,1.5,4,2,4,0,2,0,2,0,0,0,0,0.0,1.5,,0,3,3,0.0,,
5d882596946dc27ad5d79d21,61,Martin Smolinski,Zielona Góra,1.125,6,3,8,0,1,4,3,0,0,0,0,0.0,1.25,1,3,1,1,0.667,,
5d882596946dc27ad5d79d22,62,Damian Dróżdż,Częstochowa,0.8,4,0,5,0,2,0,3,0,0,0,0,0.0,,0.8,0,1,0,2.0,,
5d882596946dc27ad5d79d23,63,Patryk Rolnicki,Grudziądz,0.75,14,4,24,2,2,4,16,1,2,1,0,0.083333333,1,0.4,0.429,1.25,1,0.333,,
5d882596946dc27ad5d79d24,64,Mateusz Tonder,Zielona Góra,0.68,15,2,25,1,3,6,15,0,0,0,0,0.04,0.667,0.692,0.5,0.444,1.5,0.0,,
5d882596946dc27ad5d79d25,65,Frederik Jakobsen,Gorzów,0.667,4,0,6,0,1,2,3,0,0,1,0,0.0,0.75,0.5,,1,0.5,0.5,,
5d882596946dc27ad5d79d26,66,Kamil Wieczorek,Grudziądz,0.526,9,1,19,1,0,6,12,1,0,0,0,0.052631579,0.7,0.333,0.667,0.333,0.667,0.429,,
5d882596946dc27ad5d79d27,67,Patryk Wojdyło,Wrocław,0.2,1,0,5,0,0,1,4,1,0,0,0,0.0,0.333,0,1,,0,0.0,,
5d882596946dc27ad5d79d28,68,Adam Ellis,Gorzów,0.0,0,0,5,0,0,0,5,1,0,0,0,0.0,,0,,0,0,0.0,,
5d882596946dc27ad5d79d29,70,Kamil Pytlewski,Gorzów,0.0,0,0,3,0,0,0,3,0,0,0,0,0.0,0,,0,,0,0.0,,
5d882596946dc27ad5d79d2a,72,Sebastian Niedźwiedź,Zielona Góra,0.0,0,0,2,0,0,0,2,0,1,0,0,0.0,0,,,,0,0.0,,
5d882596946dc27ad5d79d2b,71,Alan Szczotka,Gorzów,0.0,0,0,2,0,0,0,2,1,0,0,0,0.0,,0,0,,,0.0,,
5d882596946dc27ad5d79d2c,69,Filip Nizgorski,Toruń,0.0,0,0,4,0,0,0,4,0,0,0,0,0.0,0,0,,0,0,0.0,,
