_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,id
60623db9d87fdb04828e12fd,5,Martin Vaculik,Zielona Góra,2.178,188,8,90,44,23,10,13,2,1,2,0,0.488888889,2.283,2.068,2.417,2.25,2.091,1.958,0.693641618,-0.025,54
60623db9d87fdb04828e12fe,6,Tai Woffinden,Wrocław,2.169,167,13,83,29,32,16,6,0,0,0,0,0.34939759,2.25,2.093,2.238,2.143,2.158,2.136,0.539393939,0.223684211,108
60623db9d87fdb04828e12ff,7,Maciej Janowski,Wrocław,2.16,185,18,94,37,26,22,9,0,1,0,1,0.393617021,2.326,2,2.458,1.885,2.208,2.1,0.519337017,0.275862069,71
60623db9d87fdb04828e1300,8,Grigorij Laguta,Lublin,2.157,142,9,70,32,17,12,9,0,2,0,1,0.457142857,2.324,2,2.421,2.133,2,2.045,0.620437956,0.211538462,111
60623db9d87fdb04828e1301,9,Matej Zagar,Lublin,2.068,133,18,73,22,23,21,7,1,0,0,0,0.301369863,2.5,1.649,2.312,1.952,2.056,2,0.601398601,0.035087719,55
60623db9d87fdb04828e1302,10,Nicki Pedersen,Grudziądz,2.057,138,6,70,27,22,13,8,5,0,0,0,0.385714286,2.441,1.694,2.211,2.053,2.25,1.688,0.595588235,0.054545455,110
60623db9d87fdb04828e1303,11,Jack Holder,Gorzów,2.052,106,13,58,17,20,15,6,0,1,2,0,0.293103448,2.114,1.957,2.467,2.214,2.118,1.25,0.663716814,-0.04,25
60623db9d87fdb04828e1304,12,Piotr Pawlicki,Leszno,2.0,160,10,85,34,21,16,14,0,1,0,1,0.4,2.256,1.738,2.4,1.957,1.905,1.762,0.63803681,-0.019230769,777
60623db9d87fdb04828e1305,13,Mikkel Michelsen,Lublin,2.0,129,9,69,23,21,18,7,0,0,0,0,0.333333333,2.125,1.892,2.375,1.909,1.833,1.923,0.555555556,0.05,155
60623db9d87fdb04828e1306,14,Jason Doyle,Częstochowa,2.0,118,12,65,16,28,14,7,0,2,0,1,0.246153846,1.75,2.146,2.375,1.846,1.882,1.895,0.658536585,-0.061728395,69
60623db9d87fdb04828e1307,15,Anders Thomsen,Gorzów,1.976,153,13,84,27,25,22,10,0,1,0,0,0.321428571,2.25,1.611,2.125,2.136,1.722,1.929,0.481927711,0.209302326,5
60623db9d87fdb04828e1308,16,Fredrik Lindgren,Częstochowa,1.892,110,13,65,20,18,14,13,0,1,0,0,0.307692308,2,1.829,2.118,1.765,2,1.688,0.555555556,0.071428571,66
60623db9d87fdb04828e1309,17,Patryk Dudek,Zielona Góra,1.89,156,16,91,27,25,25,14,2,0,0,0,0.296703297,1.978,1.8,2.087,1.923,1.9,1.636,0.58988764,-0.057142857,692
60623db9d87fdb04828e130a,18,Dominik Kubera,Leszno,1.89,120,18,73,20,19,22,12,1,0,0,0,0.273972603,2,1.789,2.074,1.958,1.889,1.385,0.630136986,-0.076086957,415
60623db9d87fdb04828e130b,19,Janusz Kołodziej,Leszno,1.87,126,18,77,22,21,18,16,0,0,0,0,0.285714286,2.205,1.526,2.278,2.267,1.364,1.773,0.581699346,0.078125,333
60623db9d87fdb04828e130c,20,Bartosz Smektała,Leszno,1.863,137,12,80,24,23,19,14,0,1,0,0,0.3,2.143,1.553,2.2,1.773,1.526,1.947,0.537974684,0.01369863,115
60623db9d87fdb04828e130d,21,Jarosław Hampel,Lublin,1.848,114,8,66,26,13,10,17,0,0,0,0,0.393939394,2.057,1.613,2.5,1.75,1.786,1.45,0.613636364,-0.037037037,33
60623db9d87fdb04828e130e,22,Robert Lambert,Rybnik,1.838,142,5,80,24,28,14,14,1,2,0,0,0.3,1.848,1.824,1.882,1.786,1.9,1.8,0.532051282,-0.012048193,505
60623db9d87fdb04828e130f,1,Emil Sayfutdinov,Leszno,2.523,206,16,88,47,27,11,3,0,0,0,0,0.534090909,2.714,2.348,2.565,2.524,2.636,2.364,0.739884393,0.2,89
60623db9d87fdb04828e1310,2,Artem Laguta,Grudziądz,2.479,180,1,73,46,18,6,3,0,0,0,0,0.630136986,2.529,2.436,2.294,2.773,2.5,2.25,0.689655172,0.244444444,222
60623db9d87fdb04828e1311,3,Bartosz Zmarzlik,Gorzów,2.43,217,9,93,55,22,8,8,0,1,0,1,0.591397849,2.608,2.214,2.448,2.238,2.474,2.542,0.683333333,0.333333333,95
60623db9d87fdb04828e1312,4,Leon Madsen,Częstochowa,2.206,143,7,68,28,25,9,6,0,2,0,0,0.411764706,2.5,2,2.471,2.2,1.706,2.5,0.518796992,0.359375,30
60623db9d87fdb04828e1313,23,Jaimon Lidsey,Leszno,1.787,110,24,75,16,23,16,20,1,0,0,0,0.213333333,2.081,1.5,2.3,1.375,1.85,1.526,0.52739726,0.115942029,27
60623db9d87fdb04828e1314,24,Kenneth Bjerre,Grudziądz,1.786,116,9,70,18,23,16,13,0,1,0,0,0.257142857,2.118,1.472,1.722,1.643,2.158,1.579,0.496350365,0.072463768,91
60623db9d87fdb04828e1315,25,Piotr Protasiewicz,Zielona Góra,1.779,137,16,86,19,30,20,17,0,1,1,0,0.220930233,1.81,1.75,1.8,2.136,1.741,1.353,0.521472393,0.0,151
60623db9d87fdb04828e1316,26,Gleb Chugunov,Wrocław,1.765,125,18,81,19,25,18,19,0,3,0,0,0.234567901,2.098,1.425,2.1,1.462,2.05,1.467,0.516129032,0.013333333,3247
60623db9d87fdb04828e1317,27,Chris Holder,Wrocław,1.746,100,10,63,15,17,21,10,0,0,0,0,0.238095238,1.737,1.76,2.071,1.737,1.667,1.533,0.536,-0.044776119,23
60623db9d87fdb04828e1318,28,Jakub Miśkowiak,Częstochowa,1.609,68,6,46,13,6,17,10,0,0,0,0,0.282608696,1.214,1.781,2.2,1.429,0.909,1.833,0.511111111,-0.043478261,515
60623db9d87fdb04828e1319,33,Szymon Woźniak,Gorzów,1.562,97,17,73,13,18,22,20,1,0,0,0,0.178082192,1.925,1.121,2.421,1.5,1.429,0.733,0.555555556,-0.1,48
60623db9d87fdb04828e131a,34,Max Fricke,Wrocław,1.554,99,16,74,10,20,29,15,0,1,0,0,0.135135135,1.541,1.568,2,1.143,1.476,1.444,0.506849315,-0.027027027,46
