_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,Kolumna1,id,ELO
6171b59062d0a6d89c9e14e7,1,Bartosz Zmarzlik,Gorzów,2.649,253,4,97,69,20,6,2,1,0,0,0,0.711340206,2.6,2.692,2.667,2.667,2.526,2.7,18,0.734375,0.470588235,141,51,90,36,12,24,-0.092307692,95,1514
6171b59062d0a6d89c9e14e8,4,Jason Doyle,Leszno,2.253,197,17,95,39,31,18,7,1,1,0,0,0.410526316,2.25,2.255,2.31,2.4,2.05,2.19,18,0.690217391,0.105263158,127,57,70,32,26,6,-0.005319149,69,1352
6171b59062d0a6d89c9e14e9,7,Mikkel Michelsen,Lublin,2.087,183,9,92,38,26,17,11,3,2,0,0,0.413043478,2.311,1.872,2.45,2.16,1.815,2.0,18,0.65,-0.008547009,117,63,54,11,12,-1,0.438770686,155,1344
6171b59062d0a6d89c9e14ea,2,Maciej Janowski,Wrocław,2.582,216,19,91,48,32,8,3,1,0,0,0,0.527472527,2.587,2.578,2.762,2.552,2.706,2.375,18,0.491525424,0.611111111,87,90,-3,62,7,55,0.009178744,71,1446
6171b59062d0a6d89c9e14eb,5,Leon Madsen,Częstochowa,2.219,158,4,73,32,26,10,5,0,0,0,0,0.438356164,2.189,2.25,2.25,2.158,2.143,2.3,14,0.503496503,0.295774648,72,71,1,33,12,21,-0.060810811,30,1370
6171b59062d0a6d89c9e14ec,6,Martin Vaculik,Gorzów,2.209,172,18,86,35,25,17,9,0,1,0,0,0.406976744,2.356,2.049,2.167,2.167,2.231,2.278,17,0.706586826,-0.025423729,118,49,69,13,16,-3,0.306775068,54,1308
6171b59062d0a6d89c9e14ed,8,Tai Woffinden,Wrocław,2.085,132,16,71,23,22,19,7,1,1,1,0,0.323943662,2.244,1.867,2.556,1.889,1.85,2.067,15,0.644927536,0.163265306,89,49,40,26,18,8,0.377235772,108,1351
6171b59062d0a6d89c9e14ee,9,Robert Lambert,Toruń,2.083,137,13,72,23,26,16,7,0,0,0,0,0.319444444,2.121,2.051,2.118,2.2,2.143,1.786,14,0.582733813,0.051724138,81,58,23,21,18,3,0.06993007,505,1273
6171b59062d0a6d89c9e14ef,10,Patryk Dudek,Zielona Góra,2.077,158,4,78,31,28,9,10,1,0,0,0,0.397435897,2.108,2.049,2.238,1.913,2.222,1.938,14,0.635761589,-0.072916667,96,55,41,7,14,-7,0.05932762,692,1297
6171b59062d0a6d89c9e14f0,11,Janusz Kołodziej,Leszno,2.036,151,18,83,25,29,18,11,1,0,0,0,0.301204819,2.122,1.952,2.176,2.294,1.7,2.034,18,0.506097561,0.197530864,83,81,2,29,13,16,0.169570267,333,1196
6171b59062d0a6d89c9e14f1,12,Nicki Pedersen,Grudziądz,2.029,139,1,69,26,24,13,6,3,0,0,1,0.376811594,2.129,1.947,2.067,1.952,1.955,2.273,13,0.601503759,-0.0875,80,53,27,15,22,-7,0.181663837,110,1212
6171b59062d0a6d89c9e14f2,13,Jakub Miśkowiak,Częstochowa,1.965,105,7,57,22,15,9,11,0,0,0,0,0.385964912,1.964,1.966,2.267,1.875,2,1.692,14,0.637168142,-0.027777778,72,41,31,8,10,-2,-0.001231527,515,1134
6171b59062d0a6d89c9e14f3,14,Emil Sayfutdinov,Leszno,1.954,158,12,87,28,25,24,10,1,0,0,0,0.32183908,2.044,1.857,1.895,2.174,1.968,1.643,18,0.619883041,0.015384615,106,65,41,20,19,1,0.187301587,89,1259
6171b59062d0a6d89c9e14f4,3,Artem Laguta,Wrocław,2.36,201,9,89,51,17,14,7,0,0,0,0,0.573033708,2.4,2.318,2.708,2.5,2.087,2.136,18,0.725714286,0.125,127,48,79,13,7,6,0.081818182,222,1406
